company,introduction,end_market,industry,link,link_corrected
ThinkSmart Education,"ThinkSmart is different to any other software out there. It has been engineered from the ground up with the nuances of class-based businesses in mind. Bookings, customers, classes, enrolments, attendance records, student grading, emailing, texting, invoic",Education,IT - Software,http://www.thinksmartsoftware.com/,https://www.thinksmartsoftware.com/
Thinxtra,IOT networks,IOT,IT - Software,,https://www.thinxtra.com/
Thomas Global Systems,Manufactures electrical products for avionic and defence industries,Defence,Manufacturing,http://www.thomas-global.com/about-us,https://www.thomas-global.com/about-us/
Thrive Early Learning Centres,Childcare centres,Childcare,Education,,https://www.thrive.edu.au/
The Illawarra Business College,RTO,"Business, hospitality, aged care, disability",Education,http://www.tibc.nsw.edu.au/,https://www.tibc.nsw.edu.au/about-us/about.html
Tie Up Farming,Agri-tech farming operations,Agriculture,IT - Software,www.tieupfarming.com,https://www.tieupfarming.com/
Timetabling Solutions Pty Ltd,School timetable software,Education,IT - Software,http://www.timetabling.com.au,https://www.timetabling.com.au/
Titanium Solutions,Specialist healthcare and dental software,Dental,IT - Software,https://www.titanium.solutions/,https://www.titanium.solutions/
TMG Test Equipment,Test and measurement equipment services,Testing,"Services - professional, scientific, and technical",https://www.tmgtestequipment.com.au/solutions/index.php?app=cms&ns=display&ref=aboutus,https://www.tmgtestequipment.com.au/solutions/index.php?app=cms&ns=display
Project Tonka,Dry and wet hire for civil construction equipment,Industrial equipment rental hire,Services - other,,https://www.tonkintaylor.co.nz/
Tontine,PacBrands flooring and pillows business,Pillows and flooring,Retail trade,http://www.tontine.com.au/,https://www.tontine.com.au/
Trajan Scientific and Medical,"Design, manufacture and distribution of scientific and medical devices",Science,Wholesale trade,https://www.trajanscimed.com,https://www.trajanscimed.com/
TrakGene,Provider of clinical genetics management systems,Clinical genetics,IT - Software,https://www.trakgene.com/,https://www.trakgene.com/
Transform Physio,Physio services,Physio,Healthcare,https://www.transformphysio.com.au/,https://www.transformphysio.com.au/
Travellers Auto Barn,Campervan operator,Tourism,Transport,https://www.travellers-autobarn.com.au/,https://www.travellers-autobarn.com.au/
True Blue Finance,Mortgage broker,Household consumers,Finance and insurance,http://www.truebluefinancial.com.au/about-us.html,https://www.trueblue.financial/
Project Smart,Cyber security services,Cyber security,"Services - professional, scientific, and technical",,https://www.tsamgt.com/overview/
Technical Security Services,Cyber security services provider,Cyber risk,"Services - professional, scientific, and technical",https://www.tsscyber.com.au/about,https://www.tsscyber.com.au/about/
TSSM,School student tutoring,Tutoring,Education,https://www.tssm.com.au/aboutus.aspx,https://www.tssm.com.au/aboutus.aspx
Temperature Technology,Distribution of instruments and measuring devices for monitoring temperature,Distribution,Wholesale trade,https://www.t-tec.com.au/home/about-temperature-technology/,https://www.t-tec.com.au/home/about-temperature-technology/
TTG Transportation Technology,Rail technology and consulting services,Transport,IT - Software,http://www.ttgtransportationtechnology.com/,https://www.ttgtransportationtechnology.com/
Tutis Compliance Solutions,Workforce and training compliance software solutions and services to different industries,Compliance,IT - Software,https://www.tutis.com.au/,https://www.tutis.com.au/
ASAP Laboratory,specialty animal pathology and testing services industry,Testing services,"Services - professional, scientific, and technical",http://www.asaplab.com.au/Our_Staff.html,https://www.tuugo.biz/Companies/gribbles-molecular-science/0050003471952
Therapon,Veterinary supplies distribution,Medical devices,Healthcare,http://www.therapon.com.au/index.aspx,https://www.tuugo.biz/Companies/therapon7/0050003593492
Tyresales.com.au,Online tyre sales,Online B2C retail,Retail trade,,https://www.tyresales.com.au/
UAG Macadamias,Integrated macadamia manufacturing & processing,Macadamias,Agriculture,,https://www.uagbionutrients.com/management-team
Car Finance Australia,"Vehicle, business, personal finance",Various,Finance and insurance,,https://www.udc.co.nz/index.html
UHG,Workplace health and safety services,tbc,Healthcare,tbc,https://www.uhg.com.au/
Universal Institute of Technology,Higher ed services and RTO,RTO,Education,www.uit.edu.au,https://www.uit.edu.au/
UME Loans,Car finance,Car finance,Finance and insurance,https://umeloans.com.au/,https://www.umeloans.com.au/
Prior Education Australia,High school tuition,Secondary education,Education,http://prior.edu.au/,https://www.une.edu.au/staff-profiles/sabl/jprior2
Unistrut Corporation,Cabling framework manufacturer,Building products,Manufacturing,,https://www.unistrut.com/
Unitronix,Supplier of rugged computing solutions to different industries,Defence,Retail trade,https://www.unitronix.com.au/about-us/who-we-are/,https://www.unitronix.com.au/about-us/who-we-are/
Universal stores,Clothing retailer,Clothing retail,Retail trade,,https://www.universalstore.com/
Unleashed Software,Inventory management solutions,"Manufacturing, wholesale, distribution and retail",IT - Software,,https://www.unleashedsoftware.com/blog/unleashed-helps-customers-sales-fy17
Upskilled,RTO,Higher Education,Education,,https://www.upskilled.edu.au/
Urban Climb,Indoor climbing and fitness classes,Recreation,"Arts, entertainment and recreation",,https://www.urbanclimb.com.au/
Kwela Solutions,"Web-based software for contracts, risk and compliance in any business",Corporate risk,IT - Software,https://www.usefolio.com/about,https://www.usefolio.com/about/
Utilight,Laser printing for solar cells,Laser printing,Manufacturing,https://www.utilight.com/,https://www.utilight.com/
VAMS,workforce management software,Energy & Resources,IT - Software,http://www.vams.com.au/,https://www.vams.com.au/
Vcare International,Residential aged care software solution,Aged care,Healthcare,https://www.vcaresoftware.com/,https://www.vcaresoftware.com/
Velocity Scientific Solutions,Research products distribution to life science space,Life Science,Wholesale trade,https://www.velocityscientific.com.au/,https://www.velocityscientific.com.au/
VentureCrowd,VC investment platform,Financial services / insurance,Finance and insurance,,https://www.venturecrowd.com.au/
Verdia,Solar financing and installation,,Finance and insurance,,https://www.verdia.com.au/
Broens Industries,Niche medical and aerospace parts manufacturer,Medical products,Manufacturing,http://www.broens.com.au/en/,https://www.verseng.com.au/
VetlinkSQL,SQL- based veterinary management software,Veterinary,IT - Software,https://www.vetlinksql.com/,https://www.vetlinksql.com/
Vet's Best Products,Specialist pet food manufacturing business,Pet food,Manufacturing,http://www.vetsbest.com.au/,https://www.vetsbest.com.au/
C M Laboratories / Vetsense,Veterinary and animal health products,Veterinary / agriculture,Manufacturing,http://www.vetsense.com.au/about-us/,https://www.vetsense.com.au/
Vintessential Laboratories,specialty testing services industry,Testing services,"Services - professional, scientific, and technical",http://www.vintessential.com.au/,https://www.vintessential.com.au/
Vipac,specialty testing services industry,Testing services,"Services - professional, scientific, and technical",https://www.vipac.com.au/about-us/company-overview/,https://www.vipac.com.au/about-us/
Viscon,Concrete for driveways and foundations for commercial shopping centres and apartments,Consumers,Manufacturing,,https://www.viscon.com.au/
VisiCase,Aged and disability care management software,Aged care,Healthcare,https://www.visicase.com/,https://www.visicase.com/
Vision6,Marketing services,Email and SMS marketing,Telecommunications,www.vision6.com.au,https://www.vision6.com.au/
Visual Risk,"Treasury software (risk analytics, asset-liability management, hedge accounting)","Corporate, financial services",IT - Software,http://www.visualrisk.com/,https://www.visualrisk.com/sydusergroup
VisuRay,Oilfield technology services for x-raying wells,Oil and gas,"Mining, oil and gas",,https://www.visuray.com/home
The Victorian Institute of Technology,"TEQSA + RTO (IT, Business, English, digital media, hospitality)","IT, Business, English, digital media, hospitality",Education,http://www.vit.edu.au/,https://www.vit.edu.au/
Vita Gold Products,Nutraceutical packaging,Nutraceuticals,Manufacturing,,https://www.vitagold.com.au/
Vital Software,Automotive and car dealership software,Automotive,IT - Software,https://www.vitalsoftware.net/company/,https://www.vitalsoftware.com.au/company/
Vitex Pharmaceuticals,Pharmaceuticals and health products,Pharma,Manufacturing,http://www.vitexpharma.com/,https://www.vitexpharma.com/
Vivi,Classroom management platform,Classroom management,IT - Software,https://www.vivi.io/about,https://www.vivi.io/about
Very Small Particle Company,Battery storage technology,Electric vehicle batteries,Manufacturing,http://www.vspc.com/,https://www.vspc.com/
VTI Services,Specialising in testing and inspection of communication cabling systems to meet a niche requirement of our clients,IT,IT - Hardware,http://www.vti.net.au/services,https://www.vti.net.au/services
Vuly Play,Trampoline and other sports apparatus,"Trampoline, swing manufacturing","Arts, entertainment and recreation",https://www.vulyplay.com/,https://www.vulyplay.com/en-AU
Waddle,Factoring software,FinTech,IT - Software,https://waddle.com.au,https://www.waddle.com.au/
Pay's Air Service,Contract firefighting and aerial spraying services,Pest control,"Services - professional, scientific, and technical",http://www.paysairservice.com.au/aircraft/home.asp,https://www.warbirdsonline.com.au/2016/01/29/nakajima-ki-43-i-oscar-hayabusa/
Warner & Webster,"On-stop-shop for medical clinics (surgery set-ups, diagnostic and sterilization equipment, on-going supply of consumables",Medical equipment,Healthcare,https://www.warnerwebster.com.au/,https://www.warnerwebster.com.au/
Wattcost,An intelligent home application provider for energy management,Energy efficiency,IT - Software,https://www.wattcost.com/about,https://www.wattcost.com/about
WebFM,Construction and facilities management solutions provider,Facilities management,IT - Software,https://www.webfm.net/about/,https://www.webfm.net/about/
Weedtechnics,producer of hydro-thermal weed control machines,Agriculture,Agriculture,http://www.weedtechnics.com,https://www.weedtechnics.com/
Western Hospital,Private hospital,Hospitals,Healthcare,http://www.westernhospital.com.au/,https://www.westernhospital.com.au/
Westlab,Westlab have been dedicated to the science and laboratory industry through an innovative range of high quality laboratory products. Westlab has grown into the key player for laboratory equipment and consumables through its core values and providing custom,Education,Wholesale trade,https://www.westlab.com.au/corporate,https://www.westlab.com.au/corporate
